Threshold,Cache Hit Rate,Correct Classification Rate from Cache Hits,Time Taken
0.5,0.998,0.624,13.482
0.55,0.998,0.624,13.875
0.6,0.998,0.624,12.119
0.65,0.99,0.631,17.832
0.7,0.731,0.816,17.286
0.75,0.587,0.817,14.918
0.85,0.014,1.0,14.57
0.9,0.01,1.0,14.179
0.95,0.01,1.0,15.42
0.65,0.997,0.624,16.679
0.67,0.938,0.725,14.448
0.69,0.918,0.756,17.922
0.71,0.766,0.799,19.592
0.73,0.729,0.833,18.213
0.75,0.683,0.812,15.377
0.83,0.149,0.968,21.799
0.77,0.465,0.879,17.372
0.78,0.303,0.91,14.929
0.79,0.463,0.855,18.223
0.8,0.228,0.944,19.838
0.81,0.196,0.951,19.34
0.82,0.381,0.908,18.244
